"filename", "language", "XML", "Shell Script", "JSON", "YAML", "Dart", "Markdown", "Gradle", "Properties", "HTML", "C++", "JavaScript", "CSS", "Objective-C", "Swift", "Java", "Batch", "PowerShell", "Groovy", "Ruby", "TypeScript", "JSON with Comments", "WebAssembly Text Format", "comment", "blank", "total"
"/Users/richardtozer/dev/projects/daufootytipping/.fvm/flutter_sdk/.github/ISSUE_TEMPLATE/4_performance_others.yml", "YAML", 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 115
"/Users/richardtozer/dev/projects/daufootytipping/.fvm/flutter_sdk/.github/ISSUE_TEMPLATE/5_performance_speed.yml", "YAML", 0, 0, 0, 151, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 173
"/Users/richardtozer/dev/projects/daufootytipping/.fvm/flutter_sdk/.github/ISSUE_TEMPLATE/6_infrastructure.yml", "YAML", 0, 0, 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 74
"/Users/richardtozer/dev/projects/daufootytipping/.fvm/flutter_sdk/.github/ISSUE_TEMPLATE/7_cherry_pick.yml", "YAML", 0, 0, 0, 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 88
"/Users/richardtozer/dev/projects/daufootytipping/.fvm/flutter_sdk/.github/ISSUE_TEMPLATE/8_design_doc.yml", "YAML", 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 33
"/Users/richardtozer/dev/projects/daufootytipping/.fvm/flutter_sdk/.github/ISSUE_TEMPLATE/9_first_party_packages.yml", "YAML", 0, 0, 0, 201, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 224
"/Users/richardtozer/dev/projects/daufootytipping/.fvm/flutter_sdk/.github/ISSUE_TEMPLATE/config.yml", "YAML", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/Users/richardtozer/dev/projects/daufootytipping/.fvm/flutter_sdk/.github/PR_TEMPLATE/PULL_REQUEST_CP_TEMPLATE.md", "Markdown", 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 74
"/Users/richardtozer/dev/projects/daufootytipping/.fvm/flutter_sdk/.github/PULL_REQUEST_TEMPLATE.md", "Markdown", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 30
"/Users/richardtozer/dev/projects/daufootytipping/.fvm/flutter_sdk/.github/dependabot.yml", "YAML", 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 41
"/Users/richardtozer/dev/projects/daufootytipping/.fvm/flutter_sdk/.github/labeler.yml", "YAML", 0, 0, 0, 115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 22, 141
"/Users/richardtozer/dev/projects/daufootytipping/.fvm/flutter_sdk/.github/release.yml", "YAML", 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 70
"/Users/richardtozer/dev/projects/daufootytipping/.fvm/flutter_sdk/.github/workflows/coverage.yml", "YAML", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 30
"/Users/richardtozer/dev/projects/daufootytipping/.fvm/flutter_sdk/.github/workflows/easy-cp.yml", "YAML", 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 5, 74
"/Users/richardtozer/dev/projects/daufootytipping/.fvm/flutter_sdk/.github/workflows/labeler.yml", "YAML", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 4, 23
"/Users/richardtozer/dev/projects/daufootytipping/.fvm/flutter_sdk/.github/workflows/lock.yaml", "YAML", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 32
"/Users/richardtozer/dev/projects/daufootytipping/.fvm/flutter_sdk/.github/workflows/minimal.yml", "YAML", 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 43
"/Users/richardtozer/dev/projects/daufootytipping/.fvm/flutter_sdk/.github/workflows/mirror.yml", "YAML", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 4, 29
"/Users/richardtozer/dev/projects/daufootytipping/.fvm/flutter_sdk/.github/workflows/no-response.yaml", "YAML", 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 6, 41
"/Users/richardtozer/dev/projects/daufootytipping/.fvm/flutter_sdk/.github/workflows/scorecards-analysis.yml", "YAML", 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 7, 57
"/Users/richardtozer/dev/projects/daufootytipping/.fvm/flutter_sdk/CODE_OF_CONDUCT.md", "Markdown", 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 54
"/Users/richardtozer/dev/projects/daufootytipping/.fvm/flutter_sdk/CONTRIBUTING.md", "Markdown", 0, 0, 0, 0, 0, 145, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 199
"/Users/richardtozer/dev/projects/daufootytipping/.fvm/flutter_sdk/README.md", "Markdown", 0, 0, 0, 0, 0, 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 126
"/Users/richardtozer/dev/projects/daufootytipping/.fvm/flutter_sdk/analysis_options.yaml", "YAML", 0, 0, 0, 181, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 67, 3, 251
"/Users/richardtozer/dev/projects/daufootytipping/.fvm/flutter_sdk/bin/dart.bat", "Batch", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 19, 8, 37
